iter	Passed	Remaining
404	9447	13879
405	9468	13852
406	9495	13835
407	9521	13815
408	9546	13794
409	9570	13772
410	9594	13750
411	9617	13726
412	9643	13705
413	9663	13678
414	9684	13651
415	9705	13624
416	9729	13602
417	9757	13585
418	9782	13565
419	9808	13544
420	9827	13515
421	9853	13495
422	9874	13469
423	9894	13441
424	9920	13421
425	9945	13400
426	9970	13378
427	9996	13359
428	10016	13332
429	10039	13308
430	10067	13290
431	10090	13267
432	10115	13246
433	10140	13224
434	10165	13203
435	10186	13176
436	10210	13154
437	10233	13130
438	10258	13108
439	10278	13082
440	10303	13060
441	10327	13037
442	10351	13015
443	10372	12989
444	10393	12962
445	10415	12937
446	10436	12910
447	10459	12888
448	10484	12865
449	10509	12844
450	10533	12822
451	10556	12798
452	10576	12770
453	10601	12749
454	10624	12725
455	10646	12701
456	10673	12682
457	10695	12657
458	10722	12637
459	10744	12612
460	10768	12590
461	10791	12566
462	10814	12543
463	10835	12517
464	10864	12500
465	10888	12477
466	10914	12457
467	10936	12431
468	10960	12409
469	10984	12386
470	11006	12361
471	11033	12342
472	11054	12316
473	11075	12291
474	11101	12270
475	11124	12246
476	11149	12225
477	11172	12200
478	11193	12175
479	11214	12149
480	11240	12128
481	11260	12101
482	11280	12074
483	11306	12054
484	11332	12032
485	11355	12009
486	11377	11984
487	11396	11957
488	11421	11935
489	11444	11911
490	11468	11888
491	11487	11861
492	11510	11837
493	11534	11815
494	11557	11791
495	11579	11766
496	11600	11740
497	11625	11718
498	11649	11695
499	11671	11671
500	11692	11646
501	11714	11621
502	11737	11597
503	11759	11572
504	11783	11550
505	11809	11529
506	11835	11508
507	11857	11484
508	11882	11462
509	11903	11436
510	11931	11417
511	11956	11395
512	11981	11374
513	12004	11350
514	12025	11325
515	12050	11303
516	12073	11279
517	12096	11256
518	12125	11237
519	12148	11214
520	12170	11189
521	12194	11166
522	12216	11142
523	12240	11118
524	12263	11095
525	12286	11072
526	12311	11050
527	12337	11028
528	12360	11005
529	12385	10983
530	12406	10958
531	12433	10937
532	12457	10914
533	12482	10892
534	12502	10866
535	12526	10844
536	12550	10821
537	12574	10798
538	12594	10771
539	12613	10745
540	12637	10722
541	12659	10697
542	12685	10676
543	12709	10653
544	12730	10628
545	12753	10604
546	12779	10583
547	12798	10556
548	12824	10535
549	12850	10514
550	12874	10491
551	12896	10466
552	12919	10443
553	12939	10416
554	12963	10393
555	12984	10369
556	13007	10345
557	13034	10324
558	13054	10298
559	13075	10273
560	13098	10250
561	13123	10227
562	13145	10203
563	13166	10178
564	13187	10153
565	13209	10128
566	13236	10108
567	13262	10086
568	13281	10060
569	13302	10035
570	13326	10012
571	13347	9986
572	13368	9961
573	13390	9938
574	13413	9914
575	13433	9888
576	13457	9865
577	13480	9842
578	13507	9821
579	13530	9797
580	13551	9773
581	13571	9747
582	13595	9724
583	13617	9699
584	13641	9677
585	13666	9655
586	13688	9630
587	13713	9609
588	13733	9583
589	13757	9560
590	13780	9537
591	13804	9513
592	13830	9492
593	13853	9468
594	13878	9446
595	13903	9424
596	13924	9399
597	13948	9376
598	13971	9353
599	13994	9329
600	14016	9305
601	14038	9281
602	14061	9257
603	14085	9234
604	14106	9209
605	14129	9186
606	14153	9163
607	14176	9140
608	14196	9114
609	14220	9091
610	14246	9070
611	14268	9045
612	14291	9022
613	14315	8999
614	14338	8975
615	14363	8953
616	14388	8931
617	14408	8906
618	14430	8882
619	14457	8860
620	14478	8836
621	14502	8813
622	14526	8790
623	14550	8767
624	14575	8745
625	14601	8723
626	14624	8699
627	14645	8675
628	14663	8649
629	14686	8625
630	14711	8603
631	14731	8577
632	14754	8554
633	14776	8530
634	14800	8507
635	14822	8483
636	14846	8460
637	14867	8436
638	14897	8416
639	14923	8394
640	14947	8371
641	14969	8347
642	14989	8322
643	15013	8299
644	15038	8276
645	15059	8252
646	15082	8228
647	15104	8204
648	15125	8180
649	15147	8156
650	15168	8131
651	15197	8111
652	15221	8088
653	15252	8069
654	15275	8045
655	15299	8022
656	15321	7999
657	15345	7976
658	15370	7953
659	15392	7929
660	15417	7907
661	15444	7885
662	15468	7862
663	15492	7839
664	15514	7815
665	15540	7793
666	15561	7769
667	15585	7745
668	15604	7720
669	15626	7696
670	15653	7674
671	15675	7650
672	15700	7628
673	15725	7605
674	15745	7581
675	15770	7558
676	15794	7535
677	15819	7513
678	15845	7490
679	15865	7466
680	15885	7441
681	15908	7417
682	15933	7395
683	15955	7371
684	15979	7348
685	16006	7326
686	16026	7301
687	16048	7277
688	16073	7255
689	16098	7232
690	16119	7208
691	16145	7186
692	16165	7161
693	16188	7137
694	16209	7113
695	16230	7089
696	16250	7064
697	16275	7041
698	16300	7019
699	16324	6996
700	16345	6971
701	16368	6948
702	16389	6924
703	16409	6899
704	16431	6875
705	16454	6852
706	16481	6830
707	16503	6806
708	16527	6783
709	16549	6759
710	16571	6735
711	16592	6711
712	16612	6687
713	16634	6662
714	16658	6640
715	16685	6618
716	16706	6594
717	16729	6570
718	16750	6546
719	16772	6522
720	16797	6499
721	16817	6475
722	16841	6452
723	16868	6430
724	16893	6407
725	16919	6385
726	16946	6363
727	16966	6339
728	16990	6315
729	17014	6293
730	17035	6268
731	17059	6245
732	17081	6222
733	17106	6199
734	17127	6175
735	17148	6151
736	17173	6128
737	17199	6106
738	17219	6081
739	17243	6058
740	17267	6035
741	17290	6011
742	17312	5988
743	17334	5964
744	17363	5943
745	17388	5920
746	17411	5897
747	17436	5874
748	17459	5850
749	17480	5826
750	17505	5804
751	17530	5781
752	17556	5758
753	17583	5736
754	17611	5714
755	17636	5692
756	17662	5669
757	17686	5646
758	17707	5622
759	17732	5599
760	17756	5576
761	17778	5552
762	17804	5530
763	17830	5507
764	17851	5483
765	17876	5460
766	17902	5438
767	17927	5415
768	17947	5391
769	17971	5368
770	17999	5346
771	18021	5322
772	18044	5299
773	18064	5274
774	18089	5251
775	18112	5228
776	18138	5205
777	18162	5182
778	18188	5159
779	18213	5137
780	18238	5114
781	18263	5091
782	18287	5068
783	18312	5045
784	18334	5021
785	18356	4997
786	18381	4974
787	18404	4951
788	18429	4928
789	18451	4904
790	18472	4880
791	18498	4858
792	18519	4834
793	18544	4811
794	18566	4787
795	18590	4764
796	18614	4741
797	18634	4717
798	18659	4693
799	18681	4670
800	18701	4646
801	18725	4623
802	18748	4599
803	18773	4576
804	18798	4553
805	18823	4530
806	18849	4507
807	18874	4485
808	18899	4462
809	18924	4439
810	18949	4416
811	18971	4392
812	18996	4369
813	19018	4345
814	19038	4321
815	19059	4297
816	19083	4274
817	19104	4250
818	19130	4227
819	19155	4204
820	19182	4182
821	19206	4159
822	19229	4135
823	19254	4112
824	19277	4089
825	19299	4065
826	19324	4042
827	19350	4019
828	19373	3996
829	19397	3972
830	19422	3949
831	19445	3926
832	19467	3902
833	19489	3879
834	19512	3855
835	19537	3832
836	19560	3809
837	19582	3785
838	19605	3762
839	19630	3739
840	19654	3715
841	19680	3693
842	19702	3669
843	19727	3646
844	19748	3622
845	19770	3598
846	19795	3575
847	19821	3552
848	19845	3529
849	19871	3506
850	19896	3483
851	19921	3460
852	19941	3436
853	19966	3413
854	19988	3389
855	20010	3366
856	20032	3342
857	20056	3319
858	20081	3296
859	20102	3272
860	20124	3248
861	20147	3225
862	20168	3201
863	20193	3178
864	20215	3154
865	20239	3131
866	20259	3107
867	20283	3084
868	20303	3060
869	20323	3036
870	20348	3013
871	20371	2990
872	20398	2967
873	20423	2944
874	20447	2921
875	20468	2897
876	20494	2874
877	20521	2851
878	20544	2828
879	20569	2804
880	20589	2781
881	20615	2758
882	20641	2735
883	20661	2711
884	20682	2687
885	20706	2664
886	20725	2640
887	20750	2617
888	20774	2593
889	20800	2570
890	20824	2547
891	20849	2524
892	20870	2500
893	20894	2477
894	20915	2453
895	20937	2430
896	20959	2406
897	20981	2383
898	21007	2360
899	21027	2336
900	21050	2313
901	21078	2290
902	21101	2266
903	21125	2243
904	21150	2220
905	21170	2196
906	21191	2172
907	21211	2149
908	21229	2125
909	21249	2101
910	21277	2078
911	21301	2055
912	21325	2032
913	21345	2008
914	21371	1985
915	21397	1962
916	21422	1938
917	21446	1915
918	21472	1892
919	21497	1869
920	21520	1845
921	21546	1822
922	21569	1799
923	21596	1776
924	21616	1752
925	21641	1729
926	21664	1706
927	21690	1682
928	21715	1659
929	21738	1636
930	21765	1613
931	21787	1589
932	21811	1566
933	21834	1542
934	21858	1519
935	21885	1496
936	21910	1473
937	21933	1449
938	21953	1426
939	21979	1402
940	22001	1379
941	22021	1355
942	22044	1332
943	22067	1309
944	22091	1285
945	22113	1262
946	22135	1238
947	22158	1215
948	22178	1191
949	22201	1168
950	22225	1145
951	22250	1121
952	22275	1098
953	22297	1075
954	22324	1051
955	22347	1028
956	22371	1005
957	22396	981
958	22416	958
959	22438	934
960	22460	911
961	22484	888
962	22507	864
963	22531	841
964	22552	817
965	22579	794
966	22605	771
967	22629	748
968	22650	724
969	22673	701
970	22695	677
971	22719	654
972	22745	631
973	22766	607
974	22788	584
975	22811	560
976	22837	537
977	22860	514
978	22884	490
979	22905	467
980	22926	444
981	22952	420
982	22978	397
983	23002	374
984	23024	350
985	23049	327
986	23075	303
987	23099	280
988	23123	257
989	23144	233
990	23163	210
991	23184	186
992	23205	163
993	23228	140
994	23254	116
995	23276	93
996	23298	70
997	23321	46
998	23346	23
999	23368	0
