iter	RMSE
135	368.6339926
136	368.2091548
137	367.6540038
138	367.1797627
139	366.5559044
140	366.128972
141	365.163676
142	364.4051012
143	363.813311
144	363.3354373
145	362.8921175
146	362.5227224
147	361.7944142
148	361.3683299
149	360.7245777
150	360.4641034
151	360.0326527
152	359.5711774
153	359.132553
154	358.7848846
155	358.3590883
156	357.7416389
157	357.3005896
158	356.6465597
159	356.242457
160	355.8300351
161	355.5272688
162	355.2095154
163	354.8623466
164	354.6303265
165	354.3452243
166	353.8940085
167	353.7197866
168	353.2864644
169	352.8868912
170	352.5280378
171	352.087655
172	351.7904392
173	351.3777365
174	351.0410167
175	350.5254442
176	350.1442266
177	349.8598282
178	349.3834739
179	348.7780615
180	348.4626347
181	347.8124097
182	347.4020208
183	347.1199906
184	346.7864136
185	346.3960417
186	345.9768947
187	345.59209
188	345.2975121
189	344.9230243
190	344.5755956
191	344.1952026
192	343.9031294
193	343.46232
194	343.1360547
195	342.8518633
196	342.5025645
197	342.2956713
198	342.0325088
199	341.6112816
200	341.3373023
201	341.0346339
202	340.7216384
203	340.2072807
204	339.9786047
205	339.8064452
206	339.5241613
207	339.234533
208	338.9766515
209	338.6586544
210	338.3460931
211	338.1004686
212	337.8465546
213	337.5980078
214	337.312546
215	337.0732186
216	336.7927054
217	336.3405693
218	336.1652347
219	335.7780235
220	335.5508305
221	335.3241149
222	334.9041253
223	334.6763283
224	334.357557
225	334.0492955
226	333.7972575
227	333.5490977
228	333.275018
229	333.0608863
230	332.8630863
231	332.5894793
232	332.3090756
233	332.0888824
234	331.9335222
235	331.6910397
236	331.4722902
237	331.3242778
238	330.8705853
239	330.5529227
240	330.4052024
241	330.1050154
242	329.857296
243	329.7339653
244	329.538182
245	329.1940253
246	329.0714809
247	328.9219502
248	328.7196209
249	328.5525831
250	328.4146736
251	328.2687071
252	328.0720327
253	327.8783291
254	327.5491842
255	327.3044745
256	327.1243226
257	326.9716426
258	326.7647036
259	326.6029596
260	326.3563007
261	326.0435278
262	325.9170854
263	325.73849
264	325.5213951
265	325.1137058
266	324.9445737
267	324.785361
268	324.5830094
269	324.4264736
270	324.2763656
271	324.1131583
272	323.9362986
273	323.7661604
274	323.5281558
275	323.397286
276	323.2071651
277	322.9943352
278	322.8531642
279	322.4628942
280	322.1384546
281	321.9616385
282	321.8536112
283	321.7377715
284	321.591982
285	321.441082
286	321.2325675
287	321.0826988
288	320.9452837
289	320.7412232
290	320.5580066
291	320.3451395
292	320.1911697
293	320.0474306
294	319.9081608
295	319.7002876
296	319.517072
297	319.3957706
298	319.1929954
299	318.9935743
300	318.8422662
301	318.7299885
302	318.4884809
303	318.322452
304	318.1649713
305	317.9376313
306	317.7965006
307	317.6877165
308	317.3986384
309	317.3215474
310	317.2053111
311	317.0598974
312	316.9610318
313	316.7268827
314	316.6087277
315	316.4755555
316	316.3078281
317	316.2609112
318	316.1443694
319	316.0060884
320	315.8544522
321	315.6833477
322	315.5325821
323	315.4226895
324	315.1790003
325	315.0480281
326	314.8629756
327	314.7833634
328	314.7015402
329	314.5537824
330	314.3931154
331	314.2259717
332	314.0647572
333	314.0152923
334	313.9201836
335	313.8678002
336	313.7799247
337	313.6008925
338	313.4381074
339	313.3092968
340	313.2373768
341	313.1225751
342	312.9716414
343	312.8845215
344	312.6955177
345	312.4214026
346	312.1925151
347	312.0343054
348	311.8618047
349	311.7658789
350	311.6287941
351	311.4921666
352	311.3885837
353	311.2806751
354	311.2213726
355	311.1039193
356	310.9589882
357	310.8010377
358	310.671224
359	310.5219035
360	310.4627329
361	310.3414295
362	310.1766786
363	310.1339914
364	310.0340533
365	309.9368117
366	309.8262628
367	309.7587018
368	309.6131867
369	309.4623417
370	309.3689244
371	309.2292053
372	309.1101786
373	308.9777919
374	308.9011722
375	308.7683432
376	308.6330069
377	308.5020739
378	308.2907393
379	308.182329
380	308.0456605
381	307.98921
382	307.8425676
383	307.7950766
384	307.6732934
385	307.5146786
386	307.3627129
387	307.081859
388	306.7677248
389	306.6969129
390	306.6037963
391	306.5179325
392	306.287745
393	306.1361478
394	306.0701197
395	305.9379648
396	305.8115913
397	305.7309905
398	305.6557626
399	305.5276613
400	305.2865312
401	305.2307772
402	305.0818247
403	304.9833459
404	304.9081903
405	304.7894282
406	304.7332762
407	304.5344855
408	304.4324611
409	304.3455694
410	304.1406781
411	304.0865122
412	303.9974783
413	303.8227932
414	303.6846876
415	303.5578105
416	303.463538
417	303.3595208
418	303.309604
419	303.1659946
420	303.0974012
421	303.0059427
422	302.8812708
423	302.7786776
424	302.7366834
425	302.6486471
426	302.5693757
427	302.4381755
428	302.3690813
429	302.2510939
430	302.122962
431	302.0503808
432	302.0084193
433	301.90579
434	301.8465295
435	301.7050668
436	301.6093769
437	301.560796
438	301.4875809
439	301.3552389
440	301.2063313
441	301.0356755
442	300.9108066
443	300.6580655
444	300.5246872
445	300.3212708
446	300.0951163
447	299.9067401
448	299.8569415
449	299.8022132
450	299.7713762
451	299.642105
452	299.5056507
453	299.4488584
454	299.4084123
455	299.2867739
456	299.2460213
457	299.1109237
458	298.9893123
459	298.8147904
460	298.7496005
461	298.6463758
462	298.5720243
463	298.472458
464	298.4366052
465	298.322155
466	298.2055979
467	298.0954025
468	298.0182355
469	297.8862526
470	297.6637858
471	297.5926842
472	297.4424551
473	297.2243021
474	297.1539073
475	297.0545646
476	296.949629
477	296.8658086
478	296.7581248
479	296.6699285
480	296.6014128
481	296.5019459
482	296.3724708
483	296.3189168
484	296.2454226
485	296.0865865
486	295.9427537
487	295.8182304
488	295.7395208
489	295.6518653
490	295.5724058
491	295.4718805
492	295.4198116
493	295.3305158
494	295.2506984
495	295.1659784
496	295.0651251
497	295.0271603
498	294.9220719
499	294.8818878
500	294.8144535
501	294.7319661
502	294.5576303
503	294.4396822
504	294.4012608
505	294.2751407
506	294.2118624
507	294.1514719
508	294.0143604
509	293.9516857
510	293.8758508
511	293.8518947
512	293.7373466
513	293.6957335
514	293.6371582
515	293.5733363
516	293.4950967
517	293.3540125
518	293.2789248
519	293.1797797
520	293.0771715
521	292.9940821
522	292.8499339
523	292.7695195
524	292.7106175
525	292.6401821
526	292.4059958
527	292.3316184
528	292.1814136
529	292.1320311
530	292.0269861
531	291.9468946
532	291.8843747
533	291.758807
534	291.6801102
535	291.5968307
536	291.5581424
537	291.4836703
538	291.3962031
539	291.3364979
540	291.2530674
541	291.1760093
542	291.1420357
543	291.1036752
544	291.0218471
545	290.9342766
546	290.8896686
547	290.7949207
548	290.7283962
549	290.6771928
550	290.5938471
551	290.4956876
552	290.4448966
553	290.3324877
554	290.2585511
555	290.2158752
556	290.138665
557	290.0849114
558	289.9745449
559	289.9045459
560	289.8095673
561	289.7565356
562	289.6782809
563	289.5938753
564	289.4791253
565	289.4180981
566	289.3900447
567	289.3418674
568	289.2667669
569	289.1911587
570	289.117365
571	289.1078296
572	289.0652872
573	289.0223147
574	288.9669428
575	288.8445351
576	288.7873776
577	288.7570094
578	288.7467849
579	288.7147744
580	288.6345594
581	288.5233238
582	288.4648435
583	288.4257561
584	288.3755175
585	288.3050769
586	288.3014561
587	288.2631467
588	288.0884496
589	288.0143727
590	287.9677732
591	287.9286772
592	287.8744286
593	287.802182
594	287.6896118
595	287.6312335
596	287.5414415
597	287.5299406
598	287.5167946
599	287.4606723
600	287.4303347
601	287.3762414
602	287.2966382
603	287.2058531
604	287.1282686
605	287.0454271
606	286.9772787
607	286.8960454
608	286.7426559
609	286.7000944
610	286.6505719
611	286.6116226
612	286.5406421
613	286.4838048
614	286.3959744
615	286.31545
616	286.2813255
617	286.17092
618	286.1012104
619	286.0385078
620	285.9418317
621	285.8194049
622	285.6994283
623	285.6632688
624	285.5755312
625	285.5433742
626	285.5043593
627	285.453094
628	285.3538362
629	285.3000305
630	285.2324151
631	285.1613895
632	285.1209428
633	285.0825443
634	285.056335
635	285.0085516
636	284.9360261
637	284.8761738
638	284.828079
639	284.8150503
640	284.7936227
641	284.7510513
642	284.6300731
643	284.5645021
644	284.4602795
645	284.3133901
646	284.2688188
647	284.2179346
648	284.1360693
649	284.009042
650	283.9578371
651	283.8604308
652	283.6946961
653	283.6249716
654	283.5561479
655	283.4990939
656	283.4038772
657	283.2950471
658	283.2375106
659	283.1505812
660	283.1086479
661	283.0861934
662	283.0440257
663	282.9294283
664	282.9079103
665	282.8738148
666	282.7946472
667	282.6863276
668	282.5812935
669	282.569343
670	282.5609343
671	282.4800938
672	282.4232682
673	282.3469879
674	282.2913003
675	282.2503759
676	282.1921706
677	282.1508541
678	282.1280058
679	282.0867378
680	281.9994357
681	281.9615909
682	281.9058609
683	281.8658367
684	281.805164
685	281.746435
686	281.7455394
687	281.6896425
688	281.6668525
689	281.6419933
690	281.5677675
691	281.506594
692	281.3928049
693	281.3823674
694	281.3787498
695	281.3401741
696	281.2565554
697	281.1780789
698	281.1245794
699	281.0954236
700	281.0095073
701	280.9307676
702	280.8660003
703	280.7921026
704	280.6886952
705	280.5406618
706	280.5337825
707	280.4993526
708	280.3966335
709	280.3615632
710	280.3343978
711	280.3060326
712	280.2607117
713	280.2081609
714	280.1636797
715	280.0942301
716	280.0212263
717	279.997842
718	279.9657314
719	279.9234914
720	279.8850093
721	279.8838413
722	279.8513388
723	279.8338001
724	279.7936054
725	279.7306867
726	279.6912764
727	279.6878643
728	279.6725112
729	279.625962
730	279.5919583
731	279.5277059
732	279.4831804
733	279.3759576
734	279.3395776
735	279.2682547
736	279.2220961
737	279.215959
738	279.1629886
739	279.1220366
740	279.1190408
741	279.0131627
742	278.9789088
743	278.8893107
744	278.833185
745	278.7703377
746	278.752459
747	278.6788054
748	278.6261458
749	278.5428598
750	278.4986145
751	278.3930092
752	278.3527289
753	278.3291072
754	278.3234384
755	278.286277
756	278.2326817
757	278.1122466
758	278.055496
759	278.0133343
760	277.9475472
761	277.9237221
762	277.7920069
763	277.7438976
764	277.7003776
765	277.5760801
766	277.5198876
767	277.456999
768	277.3929131
769	277.3493805
770	277.3183727
771	277.2249362
772	277.1848454
773	277.1247514
774	277.1047304
775	277.0437148
776	277.0126716
777	276.9786381
778	276.9325414
779	276.8817807
780	276.8400349
781	276.8270772
782	276.8162366
783	276.7058971
784	276.7042863
785	276.651234
786	276.6149875
787	276.5904758
788	276.5430391
789	276.5010333
790	276.3384629
791	276.2767781
792	276.2129772
793	276.1672783
794	276.076275
795	275.9880327
796	275.9598522
797	275.9164821
798	275.8790852
799	275.7909072
800	275.6754393
801	275.6375708
802	275.5578454
803	275.4922485
804	275.4267055
805	275.3679747
806	275.3405044
807	275.2738805
808	275.2357473
809	275.1905642
810	275.1398108
811	275.0866191
812	275.0566386
813	274.9940955
814	274.8838994
815	274.8095708
816	274.7786271
817	274.7030496
818	274.685069
819	274.6570051
820	274.631292
821	274.6063175
822	274.5688998
823	274.482237
824	274.4156762
825	274.368339
826	274.3470495
827	274.2845643
828	274.2475408
829	274.2041552
830	274.1706378
831	274.1476725
832	274.1170165
833	274.073719
834	274.0313997
835	273.976612
836	273.93718
837	273.8966995
838	273.8598206
839	273.8164466
840	273.7714182
841	273.7289997
842	273.6747478
843	273.653744
844	273.5987851
845	273.5528266
846	273.5084578
847	273.4378151
848	273.4021115
849	273.3460617
850	273.3121125
851	273.2780623
852	273.2356319
853	273.2200423
854	273.1800152
855	273.1374948
856	273.117633
857	273.1063519
858	273.0814582
859	273.0178707
860	272.973947
861	272.9088892
862	272.8415527
863	272.7862504
864	272.7359394
865	272.7110594
866	272.6900986
867	272.6760605
868	272.6170665
869	272.5778973
870	272.522017
871	272.5116448
872	272.4748077
873	272.4196769
874	272.3542127
875	272.3253412
876	272.2909388
877	272.2584651
878	272.2343514
879	272.1915932
880	272.0938728
881	272.0369206
882	272.0160692
883	271.982103
884	271.904889
885	271.8906015
886	271.8538271
887	271.832353
888	271.7744175
889	271.7084747
890	271.6285785
891	271.6023458
892	271.5580114
893	271.4711105
894	271.4138956
895	271.3110968
896	271.242103
897	271.1905816
898	271.1676393
899	271.1235726
900	271.0432862
901	270.9712431
902	270.9368026
903	270.9129989
904	270.8552511
905	270.8043082
906	270.7647983
907	270.7324979
908	270.6299873
909	270.5893838
910	270.5289774
911	270.4701797
912	270.4209418
913	270.3828742
914	270.360945
915	270.3105401
916	270.2619633
917	270.19741
918	270.1619609
919	270.1139138
920	270.0682955
921	270.0372801
922	269.9308813
923	269.9115585
924	269.8759592
925	269.8252971
926	269.8015187
927	269.7770121
928	269.7525803
929	269.7282156
930	269.7184165
931	269.6817819
932	269.613711
933	269.5839909
934	269.547295
935	269.5263681
936	269.497883
937	269.4653244
938	269.3718173
939	269.2998616
940	269.2671868
941	269.2317093
942	269.2182732
943	269.1717407
944	269.1133052
945	269.0764424
946	269.0370416
947	268.995419
948	268.9337972
949	268.899707
950	268.8682767
951	268.8215922
952	268.7442087
953	268.7224674
954	268.6788063
955	268.6077252
956	268.5759185
957	268.5390192
958	268.5381557
959	268.5143017
960	268.4773674
961	268.4024476
962	268.3837437
963	268.3484402
964	268.3297977
965	268.3174092
966	268.2705817
967	268.2329307
968	268.1964958
969	268.1349806
970	268.0459559
971	267.9533738
972	267.9072998
973	267.8538093
974	267.8471621
975	267.8202916
976	267.7895358
977	267.7649438
978	267.7044515
979	267.6723233
980	267.6463324
981	267.610155
982	267.6014614
983	267.5873527
984	267.5322426
985	267.5133086
986	267.4734191
987	267.4359964
988	267.414
989	267.3641607
990	267.3131167
991	267.2683626
992	267.2495265
993	267.2352648
994	267.1985143
995	267.1495543
996	267.1138619
997	267.0750375
998	267.0089411
999	266.9641551
